129,129,0,0,
129,129,0,0,
140.304,129,8.60044,0,
4416.41,2272.68,1764.27,881.111,
2.93487e+010,1.95658e+010,8.55422e+009,5.69972e+009,
1.95391e+030,1.3026e+030,4.40973e+029,2.93859e+029,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
-1.#IND,-1.#IND,-1.#IND,-1.#IND,
