129.0,129.0
129.0,129.0
131.0,129.0
133.0,131.0
135.0,133.0
135.0,133.0
137.0,135.0
137.0,135.0
137.0,137.0
137.0,137.0
137.0,139.0
139.0,141.0
139.0,141.0
139.0,143.0
141.0,143.0
141.0,145.0
143.0,145.0
143.0,145.0
145.0,147.0
145.0,147.0
147.0,149.0
147.0,149.0
149.0,149.0
151.0,149.0
151.0,151.0
151.0,153.0
153.0,153.0
153.0,153.0
153.0,155.0
153.0,155.0
155.0,155.0
157.0,157.0
157.0,157.0
159.0,159.0
159.0,161.0
161.0,161.0
163.0,161.0
163.0,161.0
165.0,163.0
165.0,163.0
167.0,165.0
167.0,165.0
169.0,167.0
169.0,167.0
171.0,169.0
171.0,169.0
173.0,171.0
175.0,173.0
177.0,173.0
179.0,173.0
179.0,175.0
181.0,175.0
181.0,177.0
183.0,177.0
183.0,177.0
183.0,179.0
185.0,181.0
185.0,183.0
185.0,185.0
189.0,185.0
