128.5,128.5,1.0,1.0
129.841110689,129.166922938,1.0,1.0
131.321496714,129.444380642,1.0,1.0
133.247809942,130.96507201,1.0,1.0
134.490968399,133.000291088,1.0,1.0
135.680804037,133.401730263,1.0,1.0
136.861567407,134.77005744,1.0,1.0
137.371590454,135.612155746,1.0,1.0
137.176224358,136.738107567,1.0,1.0
137.529288829,137.669839367,1.0,1.0
137.994182323,139.392138257,1.0,1.0
138.6929915,140.63974588,1.0,1.0
139.289226341,140.890814673,1.0,1.0
139.910262262,142.579112489,1.0,1.0
140.205663735,143.475701338,1.0,1.0
141.558823596,144.30808814,1.0,1.0
143.130763698,145.180181932,1.0,1.0
143.556873594,145.804771463,1.0,1.0
144.18380806,146.925369532,1.0,1.0
145.81266677,146.886114689,1.0,1.0
146.485742726,148.01226756,1.0,1.0
147.24030836,148.117404954,1.0,1.0
148.282099769,148.733707434,1.0,1.0
150.57837849,149.774850388,1.0,1.0
151.26514873,151.876535742,1.0,1.0
151.731646327,152.42077452,1.0,1.0
152.115070841,153.182251645,1.0,1.0
152.223635217,152.900082885,1.0,1.0
153.516041132,154.233832506,1.0,1.0
153.362579378,155.331392757,1.0,1.0
155.107285586,155.475132732,1.0,1.0
156.502672965,156.417009052,1.0,1.0
157.393318946,157.759903498,1.0,1.0
159.1642993,158.988976607,1.0,1.0
159.621227411,160.467154617,1.0,1.0
161.600452489,160.629024648,1.0,1.0
162.82202881,161.402335833,1.0,1.0
163.887340471,161.441407117,1.0,1.0
164.570778108,162.550717682,1.0,1.0
165.430412048,163.446401653,1.0,1.0
166.826801789,164.489668099,1.0,1.0
167.633688179,165.229970734,1.0,1.0
168.361388758,166.943000428,1.0,1.0
169.70377302,167.260583061,1.0,1.0
171.168166842,168.538085667,1.0,1.0
171.923457424,169.212832266,1.0,1.0
173.279400641,171.123700486,1.0,1.0
175.257702402,172.897404645,1.0,1.0
177.614353994,173.066413272,1.0,1.0
179.547681532,173.824178019,1.0,1.0
179.557306118,175.344239479,1.0,1.0
180.255625885,175.302153121,1.0,1.0
181.110802101,176.035405712,1.0,1.0
183.131958585,176.359264513,1.0,1.0
183.761306652,177.334558496,1.0,1.0
183.604167414,178.430042941,1.0,1.0
185.281823481,180.66422629,1.0,1.0
185.276815325,183.1821123,1.0,1.0
185.678232772,184.206486304,1.0,1.0
188.151077264,185.100082268,1.0,1.0
